Оборотно-сальдовая ведомость по счету 41 за 2025 г.;;;;;;;
;;;;;;;
Счет;"Показа-
тели";Сальдо на начало периода;;Обороты за период;;Сальдо на конец периода;
Номенклатура;;Дебет;Кредит;Дебет;Кредит;Дебет;Кредит
Период;;;;;;;
41;БУ;3 629 519,96;;25 639 935,43;28 371 714,01;897 741,38;
;Кол.;30 033,000;;197 491,000;219 016,000;8 508,000;
Ассорти;БУ;;;409 071,42;403 928,56;5 142,86;
;Кол.;;;830,000;820,000;10,000;
Обороты за Январь 25;БУ;;;308 571,42;211 885,71;96 685,71;
;Кол.;;;600,000;412,000;188,000;
Обороты за Февраль 25;БУ;96 685,71;;96 000,00;187 542,85;5 142,86;
;Кол.;188,000;;220,000;398,000;10,000;
Обороты за Март 25;БУ;5 142,86;;4 500,00;4 500,00;5 142,86;
;Кол.;10,000;;10,000;10,000;10,000;
Барбарис;БУ;;;137 904,74;135 619,03;2 285,71;
;Кол.;;;620,000;610,000;10,000;
Обороты за Январь 25;БУ;;;114 285,70;86 399,99;27 885,71;
;Кол.;;;500,000;378,000;122,000;
Обороты за Февраль 25;БУ;27 885,71;;23 619,04;49 219,04;2 285,71;
;Кол.;122,000;;120,000;232,000;10,000;
Белочка;БУ;;;192 000,00;192 000,00;;
;Кол.;;;480,000;480,000;;
Обороты за Январь 25;БУ;;;192 000,00;128 800,00;63 200,00;
;Кол.;;;480,000;322,000;158,000;
Обороты за Февраль 25;БУ;63 200,00;;;63 200,00;;
;Кол.;158,000;;;158,000;;
"Вафли ""Венские"" с шоколадом";БУ;277 006,06;;1 262 161,80;1 435 816,88;103 350,98;
;Кол.;5 348,000;;23 957,000;27 337,000;1 968,000;
Обороты за Январь 25;БУ;277 006,06;;306 459,31;222 566,64;360 898,73;
;Кол.;5 348,000;;5 610,000;4 180,000;6 778,000;
Обороты за Февраль 25;БУ;360 898,73;;94 851,19;157 140,64;298 609,28;
;Кол.;6 778,000;;1 888,000;2 988,000;5 678,000;
Обороты за Март 25;БУ;298 609,28;;129 831,93;119 502,58;308 938,63;
;Кол.;5 678,000;;2 464,000;2 271,000;5 871,000;
Обороты за Апрель 25;БУ;308 938,63;;114 506,03;119 827,15;303 617,51;
;Кол.;5 871,000;;2 285,000;2 308,000;5 848,000;
Обороты за Май 25;БУ;303 617,51;;300 821,51;223 558,21;380 880,81;
;Кол.;5 848,000;;5 778,000;4 300,000;7 326,000;
Обороты за Июнь 25;БУ;380 880,81;;254 180,91;205 287,88;429 773,84;
;Кол.;7 326,000;;4 748,000;3 903,000;8 171,000;
Обороты за Июль 25;БУ;429 773,84;;61 510,92;201 923,03;289 361,73;
;Кол.;8 171,000;;1 184,000;3 845,000;5 510,000;
Обороты за Август 25;БУ;289 361,73;;;186 010,75;103 350,98;
;Кол.;5 510,000;;;3 542,000;1 968,000;
"Вафли ""Венские"" со сгущенным молоком";БУ;115 213,44;;1 499 544,45;1 614 567,36;190,53;
;Кол.;1 716,000;;22 210,000;23 923,000;3,000;
Обороты за Январь 25;БУ;115 213,44;;356 125,49;254 127,59;217 211,34;
;Кол.;1 716,000;;5 102,000;3 676,000;3 142,000;
Обороты за Февраль 25;БУ;217 211,34;;140 847,35;217 930,82;140 127,87;
;Кол.;3 142,000;;2 063,000;3 168,000;2 037,000;
Обороты за Март 25;БУ;140 127,87;;165 354,50;138 514,95;166 967,42;
;Кол.;2 037,000;;2 365,000;1 996,000;2 406,000;
Обороты за Апрель 25;БУ;166 967,42;;169 229,09;129 674,81;206 521,70;
;Кол.;2 406,000;;2 437,000;1 868,000;2 975,000;
Обороты за Май 25;БУ;206 521,70;;248 121,11;264 720,89;189 921,92;
;Кол.;2 975,000;;3 632,000;3 847,000;2 760,000;
Обороты за Июнь 25;БУ;189 921,92;;257 614,56;189 320,90;258 215,58;
;Кол.;2 760,000;;3 658,000;2 715,000;3 703,000;
Обороты за Июль 25;БУ;258 215,58;;139 052,35;266 713,65;130 554,28;
;Кол.;3 703,000;;2 605,000;4 235,000;2 073,000;
Обороты за Август 25;БУ;130 554,28;;23 200,00;153 563,75;190,53;
;Кол.;2 073,000;;348,000;2 418,000;3,000;
Вишня в коньяке;БУ;;;116 190,48;116 190,48;;
;Кол.;;;210,000;210,000;;
Обороты за Январь 25;БУ;;;97 142,86;83 428,57;13 714,29;
;Кол.;;;170,000;146,000;24,000;
Обороты за Февраль 25;БУ;13 714,29;;19 047,62;32 761,91;;
;Кол.;24,000;;40,000;64,000;;
Грильяж;БУ;;;137 142,84;137 142,84;;
;Кол.;;;400,000;400,000;;
Обороты за Январь 25;БУ;;;137 142,84;100 799,99;36 342,85;
;Кол.;;;400,000;294,000;106,000;
Обороты за Февраль 25;БУ;36 342,85;;;36 342,85;;
;Кол.;106,000;;;106,000;;
"Конфеты ""Батончик""";БУ;146 729,36;;2 307 409,21;2 453 932,28;206,29;
;Кол.;1 450,000;;22 135,000;23 583,000;2,000;
Обороты за Январь 25;БУ;146 729,36;;599 300,16;492 996,00;253 033,52;
;Кол.;1 450,000;;5 399,000;4 526,000;2 323,000;
