Оборотно-сальдовая ведомость по счету 45 за 2025 г.;;;;;;;
;;;;;;;
Счет;"Показа-
тели";Сальдо на начало периода;;Обороты за период;;Сальдо на конец периода;
Контрагенты;;Дебет;Кредит;Дебет;Кредит;Дебет;Кредит
Период;;;;;;;
45;БУ;10 777,30;;5 372 223,22;5 039 095,07;343 905,45;
;Кол.;50,000;;16 130,000;15 080,000;1 100,000;
ИНТЕРНЕТ РЕШЕНИЯ ООО;БУ;10 777,30;;2 891 297,81;2 881 355,71;20 719,40;
;Кол.;50,000;;7 600,000;7 600,000;50,000;
Обороты за Январь 25;БУ;10 777,30;;625 369,71;625 369,71;10 777,30;
;Кол.;50,000;;950,000;950,000;50,000;
Обороты за Февраль 25;БУ;10 777,30;;625 369,71;625 369,71;10 777,30;
;Кол.;50,000;;950,000;950,000;50,000;
Обороты за Март 25;БУ;10 777,30;;271 446,52;270 303,39;11 920,43;
;Кол.;50,000;;950,000;950,000;50,000;
Обороты за Апрель 25;БУ;11 920,43;;294 459,92;292 230,47;14 149,88;
;Кол.;50,000;;950,000;950,000;50,000;
Обороты за Май 25;БУ;14 149,88;;230 733,84;232 174,51;12 709,21;
;Кол.;50,000;;950,000;950,000;50,000;
Обороты за Июнь 25;БУ;12 709,21;;243 438,46;240 966,44;15 181,23;
;Кол.;50,000;;950,000;950,000;50,000;
Обороты за Июль 25;БУ;15 181,23;;300 239,84;295 809,31;19 611,76;
;Кол.;50,000;;950,000;950,000;50,000;
Обороты за Август 25;БУ;19 611,76;;300 239,81;299 132,17;20 719,40;
;Кол.;50,000;;950,000;950,000;50,000;
РВБ ООО;БУ;;;1 863 441,75;1 540 255,70;323 186,05;
;Кол.;;;6 290,000;5 240,000;1 050,000;
Обороты за Март 25;БУ;;;293 087,12;252 150,44;40 936,68;
;Кол.;;;1 050,000;890,000;160,000;
Обороты за Апрель 25;БУ;40 936,68;;637 480,75;271 483,92;406 933,51;
;Кол.;160,000;;2 090,000;890,000;1 360,000;
Обороты за Май 25;БУ;406 933,51;;;271 483,89;135 449,62;
;Кол.;1 360,000;;;890,000;470,000;
Обороты за Июнь 25;БУ;135 449,62;;268 621,18;250 673,36;153 397,44;
;Кол.;470,000;;1 050,000;975,000;545,000;
Обороты за Июль 25;БУ;153 397,44;;332 126,35;317 627,21;167 896,58;
;Кол.;545,000;;1 050,000;1 075,000;520,000;
Обороты за Август 25;БУ;167 896,58;;332 126,35;176 836,88;323 186,05;
;Кол.;520,000;;1 050,000;520,000;1 050,000;
Физическое лицо;БУ;;;617 483,66;617 483,66;;
;Кол.;;;2 240,000;2 240,000;;
Обороты за Апрель 25;БУ;;;294 459,90;294 459,90;;
;Кол.;;;950,000;950,000;;
Обороты за Май 25;БУ;;;99 118,95;99 118,95;;
;Кол.;;;400,000;400,000;;
Обороты за Июнь 25;БУ;;;85 613,34;85 613,34;;
;Кол.;;;340,000;340,000;;
Обороты за Июль 25;БУ;;;35 452,24;35 452,24;;
;Кол.;;;150,000;150,000;;
Обороты за Август 25;БУ;;;102 839,23;102 839,23;;
;Кол.;;;400,000;400,000;;
Итого;БУ;10 777,30;;5 372 223,22;5 039 095,07;343 905,45;
;Кол.;50,000;;16 130,000;15 080,000;1 100,000;
