Оборотно-сальдовая ведомость по счету 90.02 за 2025 г.;;;;;;
;;;;;;
Выводимые данные: БУ (данные бухгалтерского учета);;;;;;
;;;;;;
Счет;Сальдо на начало периода;;Обороты за период;;Сальдо на конец периода;
Номенклатурные группы;Дебет;Кредит;Дебет;Кредит;Дебет;Кредит
Период;;;;;;
90.02;;;36 021 669,23;;36 021 669,23;
<...>;;;2 435 585,79;;;
Обороты за Январь 25;;;333 626,67;;;
Обороты за Февраль 25;;;301 820,00;;;
Обороты за Март 25;;;299 460,00;;;
Обороты за Апрель 25;;;299 460,00;;;
Обороты за Май 25;;;299 460,00;;;
Обороты за Июнь 25;;;299 460,00;;;
Обороты за Июль 25;;;302 839,12;;;
Обороты за Август 25;;;299 460,00;;;
Основная номенклатурная группа;;;6 504 050,34;;;
Обороты за Январь 25;;;873 541,13;;;
Обороты за Февраль 25;;;1 026 474,46;;;
Обороты за Март 25;;;569 500,72;;;
Обороты за Апрель 25;;;1 029 948,38;;;
Обороты за Май 25;;;888 178,71;;;
Обороты за Июнь 25;;;707 877,38;;;
Обороты за Июль 25;;;829 721,28;;;
Обороты за Август 25;;;578 808,28;;;
Товары;;;27 082 033,10;;;
Обороты за Январь 25;;;4 124 101,83;;;
Обороты за Февраль 25;;;3 817 682,20;;;
Обороты за Март 25;;;1 907 812,36;;;
Обороты за Апрель 25;;;2 150 263,02;;;
Обороты за Май 25;;;4 151 301,73;;;
Обороты за Июнь 25;;;3 747 224,17;;;
Обороты за Июль 25;;;4 433 170,33;;;
Обороты за Август 25;;;2 750 477,46;;;
Итого;;;36 021 669,23;;36 021 669,23;
